setNum;Class;chemicalDescription;manufacturer;tradeName;grade;weeksSoaked;TOC5_ppm;TOC50_ppm;TOC;conductivity_uSPerCm;pH_227;IC_Anion_ppm;F;Cl;Br;NO3;PO4;SO4;NO3-N;ICPTotal_ppm;Ag;Al;As;B;Ba;Be;Ca;Cd;Co;Cr;Cu;Fe;K;Li;Mg;Mn;Na;Ni;P;Pb;S;Se;Si;Sr;Tl;V;Zn;Sn;Mo;Sb;Ti;numPeaks_GCMS;peak1;peak2;peak3;peak4;peak5
;1;Silicone;Venair;Vena Sil;640 white (1 week soak);1;;;72.7;458;7.44;15.41;0;0.38;0;0.17;0;14.87;0.04;48.9;0;0.03;0;0;0;0;0.76;0;0;0;0;0.02;0.13;0;3.65;0;0.58;0;0.03;0;5.55;0;37.96;0;0;0;0.07;0;0;0.11;0;2;Dimethylsilanediol;Methoxy-phenyl-oxime;;;
;1;Silicone;Venair;Vena Sil;640 white (6 week soak);6;;;202;617;7.02;21.99;0;0.68;0;0.25;0;21.06;0.06;116.35;0;0.03;0;0;0.01;0;1.01;0;0;0;0;0.05;0.14;0;5.15;0;0.76;0.01;0.07;0;7.7;0;101.04;0;0;0;0.09;0;0;0.26;0;2;Dimethylsilanediol;Methoxy-phenyl-oxime;;;
;1;Silicone;Venair;Vena Sil;640 black ATEX (1 week soak);1;;;478;418;7.15;10.18;0;1.8;0;0.66;0;7.73;0.15;331.96;0;0.01;0;0;0.01;0;1.5;0;0;0;9.32;0;0.14;0;2.14;0;0.69;0;0.05;0;2.98;0;315.01;0;0;0;0.08;0;0;0.01;0;2;Dimethylsilanediol;Methoxy-phenyl-oxime;;;
;1;Silicone;Venair;Vena Sil;640 black ATEX (6 week soak);6;;;952;705;5.69;498.8;0;24.69;0;452.4;0;21.71;102.15;600.4;0.01;0;0.01;0.31;0.04;0;3.9;0;0;0;62.75;0;0.66;0;5.05;0;4.21;0.01;0.33;0.03;7.89;0;514.83;0;0;0;0.28;0;0;0.09;0;2;Dimethylsilanediol;Methoxy-phenyl-oxime;;;
;2;DI water;N/A;Control water;Control water (1 week soak);1;;;1.86;12.4;8.64;0;0;0;0;0;0;0;0;0.46;0;0;0;0.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.23;0;0;0;0;0;0;0;0;0;None detected;;;;
;2;DI water;N/A;Control water;Control water (6 week soak);6;;;2.36;15.4;8.55;0;0;0;0;0;0;0;0;0.3;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.27;0;0;0;0;0;0;0;0;0;None detected;;;;
